,precision,recall,f1-score,support
0,0.959051724137931,0.9501779359430605,0.9545942080800858,1405.0
1,0.19540229885057472,0.22972972972972974,0.2111801242236025,74.0
accuracy,0.914131169709263,0.914131169709263,0.914131169709263,0.914131169709263
macro avg,0.5772270114942529,0.5899538328363951,0.5828871661518441,1479.0
weighted avg,0.920843436462972,0.914131169709263,0.917398371565292,1479.0
